#Temperature,GStar,GStarEntropic
4876.17290785582,200.279221538592,200.279221538592
4703.74883589896,199.014772283879,199.014772283879
4537.03945863357,197.703783943542,197.703783943542
4377.06755044617,196.357346641143,196.357346641143
4222.50339547953,194.967929907325,194.967929907325
4074.46215317221,193.549619675542,193.549619675542
3931.08330575969,192.088630512864,192.088630512864
3793.49914474201,190.600893089024,190.600893089024
3660.27205238844,189.075545065302,189.075545065302
3532.39546400157,187.528682764338,187.528682764338
3408.56133733936,185.949820106835,185.949820106835
3289.4060458402,184.352288724516,184.352288724516
3175.0586373855,182.744390833636,182.744390833636
3064.91113596232,181.123975246942,181.123975246942
2958.90081548824,179.49674122154,179.49674122154
2856.53937092588,177.861311316163,177.861311316163
2757.6518152768,176.220978023639,176.220978023639
2662.04334434452,174.57847804781,174.57847804781
2569.49835333394,172.935769245287,172.935769245287
2480.55118225795,171.308665955955,171.308665955955
2394.14407295327,169.683663119314,169.683663119314
2310.84719107425,168.077039859993,168.077039859993
2229.67458291948,166.474779923994,166.474779923994
2151.54530910504,164.900059035788,164.900059035788
2075.83503092781,163.345262512383,163.345262512383
2002.45409527196,161.812639948058,161.812639948058
1931.31978951246,160.304631176297,160.304631176297
1862.18133377535,158.818776229772,158.818776229772
1795.01763414283,157.35776513732,157.35776513732
1730.20137186903,155.931918931557,155.931918931557
1667.02999501298,154.52770432919,154.52770432919
1605.79325486832,153.152787479718,153.152787479718
1546.11106242802,151.799315031975,151.799315031975
1487.73198065292,150.461709041499,150.461709041499
1431.00298729525,149.147296965274,149.147296965274
1375.29751400363,147.840981387716,147.840981387716
1321.08525517334,146.552119565502,146.552119565502
1267.7815400089,145.265396736174,145.265396736174
1215.45063586818,143.980240524726,143.980240524726
1163.87663668189,142.688656639687,142.688656639687
1113.30700690867,141.394515274725,141.394515274725
1063.58583185433,140.092054029719,140.092054029719
1014.40134014,138.770833999885,138.770833999885
965.333880595464,137.416759560325,137.416759560325
916.882851701464,136.042286181772,136.042286181772
868.320583708962,134.625821550436,134.625821550436
819.973832536298,133.176988122433,133.176988122433
772.028815631546,131.703525800186,131.703525800186
724.260951448237,130.20281300396,130.20281300396
676.884415708678,128.687424727082,128.687424727082
